candidate_id,composition,n_elements,Al,Co,Cr,Cu,Fe,Mn,Mo,Nb,Ni,Ti,V,W,composition_sum,valid_composition,Predicted_YS_MPa,Predicted_UTS_MPa,Predicted_Elongation_pct,Predicted_Hardness_HV,UTS_to_YS_Ratio,UTS_YS_Consistency,YS_Score,UTS_Score,Elongation_Score,Hardness_Score,Balanced_Score,Pareto_Optimal,Overall_Rank,YS_Ensemble_Mean_MPa,YS_Uncertainty_STD_MPa,YS_Ensemble_Min_MPa,YS_Ensemble_Max_MPa,YS_Ensemble_Difference_MPa,YS_Normalized,UTS_Normalized,Elongation_Normalized,Hardness_Normalized,Uncertainty_Normalized,Uncertainty_Confidence,Performance_Score,Uncertainty_Aware_Score,Uncertainty_Risk,Uncertainty_Aware_Rank,High_Performance_Low_Uncertainty
CAND_04142,Al9.88Cr17.41Cu8.70Mn16.94Ti37.83V9.24,6,9.88,0.0,17.41,8.7,0.0,16.94,0.0,0.0,0.0,37.83,9.24,0.0,100.0,True,1109.8212,808.13477,48.74484,336.349,0.728166657868122,False,0.62755704,0.1866064169032524,0.5281716262712384,0.2850739626690132,0.4190530527185577,False,3382,1581.0852,182.05055,1305.8726,1890.2153,471.2640050781249,0.62755703457608,0.1866064169032524,0.5281716262712384,0.28507396266901325,1.0,0.0,0.4140837659967192,0.33126701279737536,Low,3453,False
CAND_03957,Cr12.53Fe35.93Ni19.28W32.26,4,0.0,0.0,12.53,0.0,35.93,0.0,0.0,0.0,19.28,0.0,0.0,32.26,100.0,True,632.7993,1381.317,48.27952,233.22466666666676,2.182867402330141,True,0.22973442,0.6367395475897706,0.5198490751535559,0.0640874080243549,0.3995175734821157,False,3839,1581.0852,182.05055,1305.8726,1890.2153,948.285905078125,0.22973440053320796,0.6367395475897706,0.5198490751535559,0.064087408024355,1.0,0.0,0.4140232981599532,0.33121863852796257,Low,3454,False
CAND_01200,Co10.25Fe14.73Mo35.51Nb16.24Ni9.81Ti13.46,6,0.0,10.25,0.0,0.0,14.73,0.0,35.51,16.24,9.81,13.46,0.0,0.0,100.0,True,1011.3526,1228.4808,35.89428,306.332,1.2146908999703745,True,0.5454371,0.5167137798889282,0.2983309951123703,0.2207501198245952,0.4263405419042208,False,3210,1581.0852,182.05055,1305.8726,1890.2153,569.732605078125,0.5454370358453846,0.5167137798889282,0.2983309951123703,0.22075011982459522,1.0,0.0,0.413985209435425,0.33118816754834,Low,3455,False
CAND_04129,Cu7.39Fe17.56Mo13.14Nb14.01Ti29.50W18.40,6,0.0,0.0,0.0,7.39,17.56,0.0,13.14,14.01,0.0,29.5,0.0,18.4,100.0,True,1007.33386,1274.3254,35.18651,287.041,1.2650477142547956,True,0.5420855,0.5527165940778312,0.2856720679126753,0.1794111701523539,0.4267703411574157,False,3198,1581.0852,182.05055,1305.8726,1890.2153,573.751345078125,0.5420855215179846,0.5527165940778312,0.2856720679126753,0.1794111701523539,1.0,0.0,0.41394965449950116,0.33115972359960094,Low,3456,False
CAND_02805,Cr9.14Cu11.68Mn44.72Mo11.04V23.42,5,0.0,0.0,9.14,11.68,0.0,44.72,11.04,0.0,0.0,0.0,23.42,0.0,100.0,True,1048.1064,1034.0372,43.89448,291.128,0.9865765110257432,False,0.5760887,0.3640127681880645,0.4414197801456432,0.1881692587589813,0.4206107822628388,False,3344,1581.0852,182.05055,1305.8726,1890.2153,532.9788050781251,0.5760886548320282,0.36401276818806455,0.44141978014564326,0.18816925875898133,1.0,0.0,0.41387731702196656,0.33110185361757327,Low,3457,False
CAND_01110,Cu18.91Fe27.62Mn7.85Mo22.66Nb22.96,5,0.0,0.0,0.0,18.91,27.62,7.85,22.66,22.96,0.0,0.0,0.0,0.0,100.0,True,906.7394,1304.4778,38.754166,270.2866666666667,1.4386469022318091,True,0.4581926,0.5763959642664572,0.3494819179735071,0.1435080784277869,0.4192732685280521,False,3376,1581.0852,182.05055,1305.8726,1890.2153,674.345805078125,0.4581926162922073,0.5763959642664572,0.3494819179735071,0.14350807842778693,1.0,0.0,0.41383773050920913,0.33107018440736735,Low,3458,False
CAND_03754,Fe10.42Mo18.68Nb31.58Ti16.18W23.14,5,0.0,0.0,0.0,0.0,10.42,0.0,18.68,31.58,0.0,16.18,0.0,23.14,100.0,True,979.7535,1286.1328,33.57244,322.745,1.3127106231942989,True,0.51908433,0.5619892156789372,0.2568033752226607,0.2559217636466105,0.4269111733683801,False,3196,1581.0852,182.05055,1305.8726,1890.2153,601.331705078125,0.5190842893669018,0.5619892156789372,0.2568033752226607,0.25592176364661057,1.0,0.0,0.41379711415919634,0.3310376913273571,Low,3459,False
CAND_04381,Co19.91Cr17.54Cu23.21W39.34,4,0.0,19.91,17.54,23.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.34,100.0,True,607.38544,1360.7461,45.136276,316.502,2.2403337602145146,True,0.20853998,0.6205847487607153,0.4636301099997942,0.242543552936756,0.4010264813498235,False,3813,1581.0852,182.05055,1305.8726,1890.2153,973.699765078125,0.20853996747594836,0.6205847487607153,0.4636301099997942,0.24254355293675608,1.0,0.0,0.4137809824376534,0.33102478595012275,Low,3460,False
CAND_02756,Al8.21Mn27.91Mo18.20Ni40.60Ti5.08,5,8.21,0.0,0.0,0.0,0.0,27.91,18.2,0.0,40.6,5.08,0.0,0.0,100.0,True,853.0539,1304.5724,41.45582,259.66793333333334,1.5292965768166202,True,0.41342047,0.5764702558127304,0.397802758507529,0.1207530484734238,0.4145308657024716,False,3489,1581.0852,182.05055,1305.8726,1890.2153,728.031305078125,0.41342044331669264,0.5764702558127304,0.39780275850752905,0.12075304847342382,1.0,0.0,0.4137499723962646,0.3309999779170117,Low,3461,False
CAND_00407,Cr18.35Cu21.06Mn29.74Mo19.64Ni11.21,5,0.0,0.0,18.35,21.06,0.0,29.74,19.64,0.0,11.21,0.0,0.0,0.0,100.0,True,821.806,1378.4736,38.48934,275.283,1.6773709965858292,True,0.38736063,0.6345065604579224,0.3447453325649896,0.154214789962306,0.4158787154593104,False,3452,1581.0852,182.05055,1305.8726,1890.2153,759.279205078125,0.387360587602923,0.6345065604579224,0.3447453325649896,0.15421478996230606,1.0,0.0,0.41374793330195025,0.33099834664156025,Low,3462,False
CAND_03642,Al17.89Co7.09Cu17.34Fe6.81Mo42.48V8.39,6,17.89,7.09,0.0,17.34,6.81,0.0,42.48,0.0,0.0,0.0,8.39,0.0,100.0,True,1094.18,853.8821,45.702477,362.217,0.7803853644599339,False,0.6145128,0.2225328427337413,0.4737569834747853,0.3405068562526294,0.4206289704580501,False,3343,1581.0852,182.05055,1305.8726,1890.2153,486.90520507812494,0.6145127207121015,0.22253284273374138,0.47375698347478534,0.3405068562526294,1.0,0.0,0.4135911564784778,0.3308729251827822,Low,3463,False
CAND_01651,Co18.28Cu32.84Mn5.20Mo9.14Ni7.64V26.90,6,0.0,18.28,0.0,32.84,0.0,5.2,9.14,0.0,7.64,0.0,26.9,0.0,100.0,True,950.80023,1014.0933,46.967644,316.6666,1.0665682084844368,True,0.49493814,0.3483503668168656,0.496385318878174,0.2428962765444513,0.4135173247706316,False,3507,1581.0852,182.05055,1305.8726,1890.2153,630.284975078125,0.49493808950573304,0.34835036681686565,0.49638531887817405,0.24289627654445145,1.0,0.0,0.4135896695666129,0.33087173565329037,Low,3464,False
CAND_02968,Al9.59Co22.19Cu10.70Ni14.75Ti10.38V32.39,6,9.59,22.19,0.0,10.7,0.0,0.0,0.0,0.0,14.75,10.38,32.39,0.0,100.0,True,855.5885,833.4592,57.834854,329.3936,0.97413557925182,False,0.41553426,0.2064942716937813,0.6907524441502214,0.270169140184419,0.3998220469004553,False,3833,1581.0852,182.05055,1305.8726,1890.2153,725.496705078125,0.41553422729232364,0.20649427169378134,0.6907524441502214,0.270169140184419,1.0,0.0,0.41358294260394457,0.3308663540831557,Low,3465,False
CAND_04391,Al5.98Co14.88Cr10.15Fe32.75Mo10.51V25.73,6,5.98,14.88,10.15,0.0,32.75,0.0,10.51,0.0,0.0,0.0,25.73,0.0,100.0,True,1092.4998,1034.8281,43.432182,268.53800000000007,0.947211287187877,False,0.61311144,0.3646338800691149,0.4331512794652462,0.1397608365363941,0.4225755462380801,False,3291,1581.0852,182.05055,1305.8726,1890.2153,488.58540507812495,0.613111481922606,0.36463388006911496,0.4331512794652462,0.13976083653639418,1.0,0.0,0.413577543821419,0.3308620350571352,Low,3466,False
