Rank,Feature,Mean_Absolute_SHAP
100,categorical__Phase_BCC+BCC,0.001270929
101,categorical__Precipitate_Info_Ordered L12 phase [Classification: L12 = 1],0.0011274988
102,categorical__Phase_BCC+HCP,0.000838444
103,categorical__Phase_Face-Centered Cubic (FCC),0.00059708254
104,categorical__Phase_BCC+B2+FCC+Sec.,0.00049177755
105,categorical__Phase_fcc (code 1),0.0003829447
106,categorical__Phase_BCC+B2+L12,0.0
107,categorical__Phase_BCC+B2+Laves,0.0
108,"categorical__Phase_1 (face‑centered cubic, FCC)",0.0
109,"categorical__Phase_1 (face‐centered cubic, FCC)",0.0
110,categorical__Phase_B2,0.0
111,categorical__Phase_B2+BCC,0.0
112,categorical__Phase_B2+Sec.,0.0
113,categorical__Phase_BCC (code 2),0.0
114,categorical__Phase_1 (face‐centered cubic),0.0
115,categorical__Phase_FCC + BCC + Im,0.0
116,"categorical__Phase_FCC (225, Cu rich)",0.0
117,"categorical__Phase_1 (Face‐Centered Cubic, FCC)",0.0
118,elements__Sc_at_pct,0.0
119,elements__Re_at_pct,0.0
120,"categorical__Phase_1 (Face-Centered Cubic, FCC)",0.0
121,elements__Y_at_pct,0.0
122,categorical__Phase_Face‑centered cubic (code 1),0.0
123,categorical__Phase_Face‑centered cubic (FCC) → Code 1,0.0
124,categorical__Phase_Face‑centered cubic (FCC),0.0
125,categorical__Phase_Face‑Centered Cubic (FCC) → Code 1,0.0
126,categorical__Phase_Face‑Centered Cubic (FCC) – Dual FCC structure,0.0
127,categorical__Phase_Face‑Centered Cubic (FCC) – (classified as 1),0.0
128,categorical__Phase_Face‑Centered Cubic (FCC) [Classification Code: 1],0.0
129,"categorical__Phase_Face‐centered cubic (γ phase, coded: 1)",0.0
130,categorical__Phase_Face‐centered cubic (FCC) [Code 1],0.0
131,categorical__Phase_Face‐centered cubic (fcc) (Code 1),0.0
132,categorical__Phase_Face‐centered cubic (fcc),0.0
133,categorical__Phase_Face‐centered cubic (FCC) → Code 1,0.0
134,categorical__Phase_Face‐centered cubic (FCC) [Code = 1],0.0
135,categorical__Phase_Face‐centered cubic (FCC),0.0
136,categorical__Phase_Face‐centered cubic (FCC) (Classification value = 1),0.0
137,categorical__Phase_Face‐centered cubic (FCC) (code 1),0.0
138,categorical__Phase_Face‐Centered Cubic (FCC) (Code: 1),0.0
139,categorical__Phase_Face‐Centered Cubic (FCC) (Classification value: 1),0.0
140,categorical__Phase_Face-centered cubic (FCC; classification: 1),0.0
141,categorical__Phase_Face‐Centered Cubic (FCC) solid solution (Classification: 1 [FCC]),0.0
142,categorical__Phase_Face‐Centered Cubic (FCC) [Classification: 1],0.0
143,categorical__Phase_Face‐Centered Cubic (FCC) [Classification code: 1],0.0
144,categorical__Phase_Face‐Centered Cubic (FCC) [Classification = 1],0.0
145,"categorical__Phase_Face‐Centered Cubic (FCC) (γ phase, coded: 1)",0.0
146,categorical__Phase_Face-centered cubic (FCC),0.0
147,categorical__Phase_Face-centered cubic (FCC) (classification value = 1),0.0
148,categorical__Phase_Face-centered cubic (FCC) → Code 1,0.0
149,categorical__Phase_FCC (classification code: 1),0.0
150,categorical__Phase_FCC+BCC+BCC,0.0
151,categorical__Phase_FCC+HCP+Sec.,0.0
152,categorical__Phase_FCC+L12+B2,0.0
153,categorical__Phase_FCC+Laves,0.0
154,categorical__Phase_Disordered face‐centered cubic (FCC) [Classification code: 1],0.0
155,categorical__Phase_Body‑Centered Cubic (BCC) – (classification value 2),0.0
156,categorical__Phase_Body‐Centered Cubic (BCC) (classification code 2),0.0
157,categorical__Phase_Body‐Centered Cubic (BCC),0.0
158,categorical__Phase_FCC (with L12 precipitates),0.0
159,categorical__Processing_Method_1; 1; 0; 0,0.0
160,categorical__Processing_Method_1; 1; 0; 1,0.0
161,categorical__Processing_Method_1; 0; 0; 1,0.0
162,categorical__Processing_Method_1; Cold rolling; Annealing for recrystallization and homogenization; 0,0.0
163,categorical__Phase_Face–centered cubic (fcc) → (classification “1”),0.0
164,categorical__Processing_Method_As cast and homogenized; 1; Solution treatment at 1150 °C for 5 min; 0,0.0
165,categorical__Processing_Method_Solution treatment performed immediately after casting (as‑cast); 0; Annealing after forging; 1,0.0
166,categorical__Processing_Method_Performed; Cold rolling; Annealing; 0,0.0
167,categorical__Processing_Method_High temperature homogenization (details not specified); Cold rolling; Annealing for recrystallization and homogenization; 0,0.0
168,categorical__Processing_Method_As cast and homogenized; 1; Solution treatment at 1150 °C for 60 min; 0,0.0
169,categorical__Processing_Method_As cast and homogenized; 1; Solution treatment at 1150 °C for 2 min; 0,0.0
170,categorical__Processing_Method_Yes (1); 0; Yes (1); 0,0.0
171,categorical__Processing_Method_Solution treatment; Cold rolling; Annealing; 1,0.0
172,categorical__Processing_Method_Tube-sealed homogenization; Cold rolling at room temperature (20 °C); 0; 1,0.0
173,categorical__Processing_Method_Tube-sealed homogenization; Cold rolling at room temperature (20 °C); Annealing (recrystallization) step; 1,0.0
174,categorical__Processing_Method_1 (Yes); 1 (Yes); 1 (Yes); 1,0.0
175,categorical__Processing_Method_0; 1; 1; 1,0.0
176,categorical__Processing_Method_1 (Yes); 1 (Yes; via cryo-rolling); 0; 1,0.0
177,"categorical__Phase_Face–Centered Cubic (FCC), Classification code: 1",0.0
178,categorical__Phase_Face–centered cubic (FCC) [Classification code: 1],0.0
179,categorical__Processing_Method_0; 1 (Yes); 1 (Yes); 0,0.0
180,categorical__Processing_Method_0; 0; 0; 1,0.0
181,categorical__Phase_γ phase (face‐centered cubic),0.0
182,categorical__Phase_Face–centered cubic (FCC) (classified as 1),0.0
183,categorical__Phase_Face–centered cubic (FCC) (classification value = 1),0.0
184,"categorical__Phase_γ phase (matrix), Face‑centered cubic (fcc), Classified as: 1",0.0
185,categorical__Phase_Face‑centered cubic (fcc) → Code 1,0.0
186,categorical__Processing_Method_Yes; Yes (cold rolling); 0; 1,0.0
187,categorical__Processing_Method_Yes; Cold Rolling; Yes; 1,0.0
188,categorical__Processing_Method_Yes; Cold rolling; Yes; 1,0.0
189,categorical__Processing_Method_Yes; Yes (Cold Rolling); 0; 1,0.0
190,categorical__Processing_Method_Yes; Cold Rolling; Yes; 0,0.0
191,categorical__Processing_Method_Yes (1); Yes (1); Yes (1); 0,0.0
192,categorical__Processing_Method_Yes (complete material state); Yes; Yes; 1,0.0
193,categorical__Processing_Method_Yes; 0; 0; 0,0.0
194,categorical__Processing_Method_Yes (1); Yes (1) (hot forging); Yes (1); 1,0.0
195,categorical__Processing_Method_Yes (1); Cold Rolling: Yes (1); 0; 0,0.0
196,categorical__Processing_Method_Yes (1); 0; Yes (1); 1,0.0
197,categorical__Processing_Method_Yes (1); Yes (1); 0; 1,0.0
198,categorical__Precipitate_Info_1 (L12),0.0
199,categorical__Precipitate_Info_1,0.0
200,categorical__Precipitate_Info_11,0.0
201,categorical__Precipitate_Info_10,0.0
202,categorical__Precipitate_Info_B2 (with bcc nano‐precipitates) code 7,0.0
203,categorical__Precipitate_Info_B2 lamellae,0.0
204,categorical__Precipitate_Info_B2 phase,0.0
205,categorical__Precipitate_Info_B2 phase (code 3),0.0
206,categorical__Precipitate_Info_B2 phase – (classified as 3),0.0
207,categorical__Precipitate_Info_BCC/B2,0.0
208,"categorical__Precipitate_Info_D019 phase (ordered, needle‑shaped, closest match: HCP)",0.0
209,"categorical__Precipitate_Info_FCC (225, Co and Cr rich)",0.0
210,"categorical__Precipitate_Info_FCC → Code 8 (Cu‐rich, nanometer‐scale 'plate‐strip' precipitates confirmed by SAD patterns)",0.0
211,categorical__Precipitate_Info_FCC-Ti,0.0
212,categorical__Precipitate_Info_FCC-Ti phase,0.0
213,categorical__Precipitate_Info_Hexagonal Close‐Packed (HCP) (Code: 10),0.0
214,categorical__Precipitate_Info_7,0.0
215,"categorical__Precipitate_Info_B2 (Type–I B2), Classification code: 3, Morphology: Equiaxed or ellipsoidal (formed along grain boundaries in the partially recrystallized region)",0.0
216,categorical__Precipitate_Info_B2 (Type–I) [code: 3],0.0
217,categorical__Precipitate_Info_B2 (ordered body‑centered; classified here as 'B2'),0.0
218,"categorical__Precipitate_Info_L12 (classification = 1) – (This phase is the g0 phase, identified as Ni3(Ti,Al) with a superlattice L12 structure and a coherent interface with the fcc matrix.)",0.0
219,categorical__Precipitate_Info_L12 (Ordered Ni3Al–type; classified as 1),0.0
220,"categorical__Precipitate_Info_L12 (Ni₃(Ti,Al), g0 phase) (Code 1)",0.0
221,categorical__Precipitate_Info_L12,0.0
222,categorical__Precipitate_Info_L12 (ordered intermetallic) (Classification value = 1),0.0
223,categorical__Precipitate_Info_L12 (code 1),0.0
224,categorical__Precipitate_Info_L12 (ordered Ni3Al),0.0
225,"categorical__Precipitate_Info_L12 (nearly spherical/globular in non‐recrystallized, coarse FCC regions; code 1)",0.0
226,"categorical__Precipitate_Info_L12 (ordered, coherent nanoprecipitates); specifically identified as (Ni,Cu)₃Al [Classification code: 1 for L12]",0.0
227,categorical__Precipitate_Info_L12 (γ′) [Code 1],0.0
228,categorical__Precipitate_Info_L12 [Classification = 1],0.0
229,"categorical__Precipitate_Info_L12 Ni3(Ti,Al)",0.0
230,categorical__Precipitate_Info_L12 [Classification: 1],0.0
231,categorical__Precipitate_Info_L12 (ordered intermetallic) [Code 1],0.0
232,categorical__Precipitate_Info_L12 (ordered “γ′”) [Precipitate Code: L12 = 1],0.0
233,categorical__Precipitate_Info_L12 (ordered intermetallic),0.0
234,categorical__Precipitate_Info_L12-type Ni3Ti nanoparticles,0.0
235,categorical__Precipitate_Info_L12 γ′ precipitate [Classification: 1],0.0
236,categorical__Precipitate_Info_L12 phase → Code 1,0.0
237,categorical__Precipitate_Info_L1₂ (ordered cubic) → Code 1,0.0
238,categorical__Precipitate_Info_Needle‑shaped precipitates identified as the D019 phase (classified as HCP → Code 10),0.0
239,categorical__Precipitate_Info_Ordered L12 precipitate (Classification value: 1),0.0
240,"categorical__Precipitate_Info_Nano γ′ particles with Ni₃(Al,Ti) crystal structure (L1₂ ordering, classification 1) with spherical particles",0.0
241,"categorical__Precipitate_Info_Mixed BCC/B2 phase [BCC: 7, B2: 3; B2 features observed]",0.0
242,"categorical__Precipitate_Info_g₀ precipitates (ordered phase) with L1₂ structure, Classified as: 1",0.0
243,categorical__Precipitate_Info_g' precipitate,0.0
244,categorical__Precipitate_Info_sigma (s phase) [Classification: 6],0.0
245,categorical__Precipitate_Info_γ0 (L12),0.0
246,categorical__Precipitate_Info_γ′ phase with spherical particles,0.0
247,categorical__Precipitate_Info_γ′ phase having L12 crystal structure → Code 1 (forms as discontinuous (DP) colonies along grain boundaries),0.0
248,categorical__Precipitate_Info_γ″,0.0
249,categorical__Precipitate_Info_μ phase (identified by its hexagonal close-packed structure; classified here as 9),0.0
