Rank,Feature,Mean_Absolute_SHAP
161,categorical__Processing_Method_1 (yes); 1 (yes – hot forging step reducing thickness by 50%); 1 (yes – an annealing treatment applied to achieve a uniform grain structure); 1,0.0
162,categorical__Processing_Method_As cast and homogenized; 1; Solution treatment at 1150 °C for 2 min; 0,0.0
163,categorical__Processing_Method_As cast and homogenized; 1; Solution treatment at 1150 °C for 60 min; 0,0.0
164,categorical__Processing_Method_As cast and homogenized; 1; Solution treatment at 1150 °C for 5 min; 0,0.0
165,categorical__Processing_Method_Performed with water quenching; Cold‐rolled to 70% thickness reduction; Recrystallized with water quenching; 0,0.0
166,categorical__Processing_Method_Performed with water quenching; Cold‐rolled to 70% thickness reduction; Recrystallized with water quenching; 1,0.0
167,"categorical__Precipitate_Info_1 (L12 structure, i.e. γ′ phase)",0.0
168,categorical__Precipitate_Info_0,0.0
169,categorical__Processing_Method_Yes; Cold Rolling; Yes; 0,0.0
170,categorical__Precipitate_Info_11,0.0
171,categorical__Precipitate_Info_B2 (Type–I) [code: 3],0.0
172,categorical__Precipitate_Info_B2 (ordered body‑centered; classified here as 'B2'),0.0
173,categorical__Precipitate_Info_B2 (with bcc nano‐precipitates) code 7,0.0
174,categorical__Precipitate_Info_B2,0.0
175,categorical__Precipitate_Info_B2 [Precipitate Code: B2 = 3],0.0
176,categorical__Precipitate_Info_B2 lamellae,0.0
177,categorical__Precipitate_Info_B2 phase (code 3),0.0
178,categorical__Precipitate_Info_B2 phase,0.0
179,categorical__Precipitate_Info_B2 phase – (classified as 3),0.0
180,categorical__Processing_Method_Yes; Yes; 0; 1,0.0
181,categorical__Processing_Method_Yes; Cold Rolling; Yes; 1,0.0
182,categorical__Processing_Method_Yes; Yes (Cold Rolling); 0; 0,0.0
183,categorical__Precipitate_Info_Hexagonal (Al–Zr intermetallic phase; classified as HCP with classification “10”),0.0
184,"categorical__Precipitate_Info_FCC → Code 8 (Cu‐rich, nanometer‐scale 'plate‐strip' precipitates confirmed by SAD patterns)",0.0
185,"categorical__Precipitate_Info_FCC (225, Co and Cr rich)",0.0
186,categorical__Precipitate_Info_L12 (Classification code: 1 [for L12]),0.0
