Feature,Material_Feature,Mean_Absolute_SHAP,Mean_SHAP,Correlation
categorical__Phase_BCC+Laves,phase_bcc+laves,0.23165978,0.10359941,-0.9962842228756729
categorical__Phase_FCC+Sec.,phase_fcc+sec.,0.21658847,-0.048949633,0.958404763380348
categorical__Processing_Method_CAST,processing_method_cast,0.19987285,-0.023494393,0.6377926936739992
categorical__Test_Type_T,test_type_t,0.1976491,-0.0053976774,-0.6850411903676537
categorical__Alloy_Class_MPEA,alloy_class_mpea,0.19623326,-0.0425828,0.56785468321778
categorical__Phase_BCC + Im,phase_bcc + im,0.16644266,0.048564892,-0.9874120310445795
categorical__Processing_Method_1,processing_method_1,0.1636696,-0.0065163886,0.9432715958938519
elements__Si_at_pct,si_at_pct,0.13399169,-0.080680385,-0.917823122384663
categorical__Alloy_Class_FCC HEA,alloy_class_fcc hea,0.11975054,-0.071016416,0.08836426106997557
categorical__Phase_Other,phase_other,0.10459326,0.017004235,-0.9922059856086942
categorical__Processing_Method_OTHER,processing_method_other,0.09968122,-0.06976136,-0.9177558987973634
categorical__Processing_Method_ANNEAL,processing_method_anneal,0.09295236,0.00018954968,-0.8037752641296145
categorical__Phase_BCC+Sec.,phase_bcc+sec.,0.08428536,0.011308372,-0.3570327286337366
elements__Sn_at_pct,sn_at_pct,0.08356666,0.07388798,-0.9519746054331545
categorical__Phase_FCC+L12,phase_fcc+l12,0.08080666,-0.03148621,0.9992284723119057
elements__W_at_pct,w_at_pct,0.06903199,-0.012528765,-0.7283679314815544
categorical__Precipitate_Info_3,precipitate_info_3,0.06560421,0.008870336,0.9193240014228606
categorical__Alloy_Class_HEA/CCA,alloy_class_hea/cca,0.05642873,-0.0013659766,-0.8323267197425324
categorical__Processing_Method_0,processing_method_0,0.0561401,0.003976985,-0.04650098034251442
categorical__Phase_BCC+B2,phase_bcc+b2,0.050299056,-0.016755316,0.9738059140309796
categorical__Processing_Method_POWDER,processing_method_powder,0.04915762,0.011855713,-0.938242089711028
elements__Ca_at_pct,ca_at_pct,0.047161277,-0.047161277,-5.376229771825437e-17
categorical__Alloy_Class_MPEA/HEA,alloy_class_mpea/hea,0.036975257,-0.0017028265,0.7837983526467526
categorical__Phase_FCC+BCC+Sec.,phase_fcc+bcc+sec.,0.024768611,-0.013431234,-0.9999984388276569
numeric__Precipitate_Size_nm,precipitate_size_nm,0.021737443,-0.0118303625,-0.9321673680751176
"categorical__Precipitate_Info_η Phase (Ni3Ti‐type, hexagonally ordered, coded: 4)","precipitate_info_η phase (ni3ti‐type, hexagonally ordered, coded: 4)",0.01803925,-0.0032733413,-0.9999104911584303
categorical__Phase_FCC + BCC,phase_fcc + bcc,0.012909404,-0.0046045147,0.9760524348088087
categorical__Processing_Method_Yes; Yes; Yes; 0,processing_method_yes; yes; yes; 0,0.012832084,-0.0073942905,0.9906759314244338
categorical__Phase_BCC+FCC,phase_bcc+fcc,0.009979998,-0.008464145,0.8573171097584494
elements__C_at_pct,c_at_pct,0.009957348,0.005592139,-0.7040881165717544
categorical__Phase_FCC+HCP,phase_fcc+hcp,0.0098951515,0.0031131932,0.9995001382501689
categorical__Phase_FCC+B2,phase_fcc+b2,0.009281538,-0.0061210156,0.9113376408085442
elements__Mg_at_pct,mg_at_pct,0.008665645,0.007815045,-0.33741677532063324
categorical__Phase_FCC+BCC+B2,phase_fcc+bcc+b2,0.008278894,-0.0051626614,0.41107037026602794
categorical__Alloy_Class_Cantor-type HEA/MEA,alloy_class_cantor-type hea/mea,0.0076415795,-0.00027016576,-0.01162610226039363
elements__Zn_at_pct,zn_at_pct,0.0066419095,-0.0066419095,0.0
categorical__Phase_FCC+BCC,phase_fcc+bcc,0.005978572,-0.0048585166,0.7694196134163996
categorical__Precipitate_Info_0,precipitate_info_0,0.005105714,0.0005235157,-0.9620182354493355
categorical__Processing_Method_Yes; Yes; Yes; 1,processing_method_yes; yes; yes; 1,0.002927484,-0.0018906171,0.5910655084136608
categorical__Phase_Face‐centered cubic (FCC) [Classification: 1],phase_face‐centered cubic (fcc) [classification: 1],0.002481363,-0.0008368529,-0.8527506286918686
elements__Pd_at_pct,pd_at_pct,0.002276947,-0.002276947,-3.204994286571088e-17
categorical__Phase_FCC + Im,phase_fcc + im,0.0022195284,0.0010227829,-0.6605994797149464
categorical__Phase_1,phase_1,0.0018721357,0.0013573257,0.9989005372007554
categorical__Phase_BCC+HCP,phase_bcc+hcp,0.00083844416,-0.0007876319,0.10223959590382024
