Original_Feature,Mean_Abs_SHAP,Transformed_Components
PHASE_COMPLEX_IND__X__ACF_atomic_mass_std,0.5687623587509937,1
Hf,0.5561756615826877,1
PHASE_FCC_IND__X__Density_Exp_g_cm3,0.5471427728541044,1
PHASE_TEST_COMPRESSION__X__ACF_atomic_mass_var,0.5378526725938332,1
PHASE_COMPLEX_IND__X__ACF_atomic_mass_mean,0.5212205426283598,1
Mn,0.5129453278766429,1
PHASE_FCC_IND__X__MI_weighted_electronegativity,0.5049729942349963,1
Test_Type,0.4905677811950454,2
PHASE_B2_IND__X__ACF_atomic_mass_std,0.48852015647435226,1
PHASE_TEST_TENSILE__X__ACF_atomic_radius_mean,0.4777881167375262,1
ACF_atomic_mass_max,0.47698697883781005,1
PHASE_COMPLEX_IND__X__ACF_atomic_mass_range,0.47554679732919636,1
PHASE_COMPLEX_IND__X__ACF_atomic_mass_min,0.47077096412357033,1
PHASE_TEST_COMPRESSION__X__ACF_atomic_mass_kurtosis,0.46881286264302097,1
Zr,0.45236165757776914,1
PHASE_FCC_IND__X__ACF_atomic_mass_mean,0.4510877364781117,1
PHASE_TEST_TENSILE__X__ACF_atomic_mass_q75,0.44963784092290665,1
PHASE_FCC_IND,0.4457090110895393,1
PHASE_B2_IND__X__ACF_atomic_mass_q75,0.44398819960066155,1
PHASE_TEST_TENSILE,0.44073513405575065,1
PHASE_B2_IND__X__MI_pair_electronegativity_interaction,0.43306609411545205,1
PHASE_FCC_IND__X__MI_weighted_atomic_mass,0.43268434057745875,1
PHASE_B2_IND__X__ACF_atomic_mass_var,0.4220893871506305,1
PHASE_COMPLEX_IND__X__ACF_atomic_mass_skew,0.41426733013739153,1
PHASE_TEST_TENSILE__X__Density_Exp_g_cm3,0.41245252852470493,1
PHASE_FCC_IND__X__ACF_atomic_mass_min,0.408693994228092,1
PHASE_COMPLEX_IND__X__ACF_atomic_mass_kurtosis,0.40733422277952114,1
PHASE_TEST_TENSILE__X__Density_Calc_g_cm3,0.4011083584375665,1
PHASE_FCC_IND__X__MI_atomic_size_mismatch,0.39285192684789255,1
PHASE_FCC_IND__X__ACF_atomic_mass_q50,0.39240925471343885,1
PHASE_FCC_IND__X__MI_weighted_atomic_radius,0.38144823420125773,1
PHASE_FCC_IND__X__ACF_atomic_mass_max,0.36341009199827284,1
PHASE_TEST_TENSILE__X__ACF_atomic_mass_q25,0.35635847250267444,1
PHASE_B2_IND__X__ACF_atomic_mass_max,0.35085555068444857,1
PHASE_FCC_IND__X__ACF_atomic_mass_var,0.34530821157454816,1
PHASE_TEST_TENSILE__X__MI_weighted_electronegativity,0.3336914937020226,1
PHASE_TEST_TENSILE__X__MI_weighted_VEC,0.3295311066007496,1
PHASE_TEST_TENSILE__X__ACF_atomic_mass_mean,0.32847946363568603,1
PHASE_COMPLEX_IND__X__MI_pair_electronegativity_interaction,0.31790629247658747,1
PHASE_FCC_IND__X__Density_Calc_g_cm3,0.3166444855777871,1
PHASE_TEST_TENSILE__X__MI_weighted_atomic_radius,0.30895790475433366,1
PHASE_FCC_IND__X__ACF_atomic_radius_mean,0.30229057109175506,1
PHASE_TEST_TENSILE__X__ACF_atomic_mass_std,0.2998276625338515,1
PHASE_FCC_IND__X__ACF_atomic_mass_q75,0.2997797178525175,1
PHASE_B2_IND__X__ACF_atomic_mass_mean,0.2984372026873403,1
PHASE_TEST_TENSILE__X__MI_pair_electronegativity_interaction,0.29701388697886066,1
PHASE_B2_IND__X__ACF_atomic_mass_range,0.29660475427560495,1
PHASE_TEST_TENSILE__X__MI_atomic_size_mismatch,0.2843269133739485,1
PHASE_B2_IND__X__ACF_atomic_mass_q50,0.27367195166008845,1
PHASE_FCC_IND__X__ACF_atomic_mass_skew,0.2736485075438138,1
PHASE_COMPLEX_IND__X__Density_Exp_g_cm3,0.2721812949573282,1
PHASE_HCP_IND__X__ACF_atomic_mass_q25,0.26253157444001024,1
PHASE_FCC_IND__X__MI_pair_electronegativity_interaction,0.2512983654868627,1
PHASE_TEST_TENSILE__X__ACF_atomic_mass_max,0.25111555501513744,1
PHASE_TEST_TENSILE__X__ACF_atomic_mass_min,0.25027552360178495,1
PHASE_FCC_IND__X__ACF_atomic_mass_std,0.24489376575671992,1
PHASE_COMPLEX_IND__X__MI_atomic_size_mismatch,0.23901626503640977,1
PHASE_TEST_TENSILE__X__ACF_atomic_mass_kurtosis,0.22703162018202594,1
PHASE_B2_IND__X__MI_weighted_atomic_mass,0.22036419226097648,1
PHASE_TEST_TENSILE__X__ACF_atomic_mass_var,0.21356114060430048,1
PHASE_B2_IND__X__ACF_atomic_mass_skew,0.21282242348280647,1
PHASE_COMPLEX_IND__X__MI_weighted_electronegativity,0.201414818491377,1
PHASE_B2_IND__X__ACF_atomic_mass_min,0.1982503423747997,1
PHASE_TEST_TENSILE__X__MI_weighted_atomic_mass,0.1934027625066242,1
PHASE_HCP_IND__X__ACF_atomic_mass_min,0.1928190930294604,1
PHASE_COMPLEX_IND__X__MI_weighted_VEC,0.1913263980405817,1
PHASE_B2_IND__X__Density_Exp_g_cm3,0.18884097307722603,1
PHASE_B2_IND__X__ACF_atomic_mass_kurtosis,0.18651942907097885,1
PHASE_B2_IND__X__MI_weighted_electronegativity,0.1807118242406192,1
PHASE_B2_IND__X__MI_weighted_atomic_radius,0.17728233488785403,1
PHASE_B2_IND__X__ACF_atomic_radius_mean,0.1735581249318969,1
PHASE_COMPLEX_IND__X__ACF_atomic_mass_q25,0.17227284169596882,1
PHASE_COMPLEX_IND__X__ACF_atomic_mass_q50,0.17127087557627255,1
PHASE_COMPLEX_IND__X__ACF_atomic_radius_mean,0.1672760622388525,1
PHASE_LAVES_IND__X__ACF_atomic_mass_min,0.16502987378459566,1
PHASE_B2_IND__X__Density_Calc_g_cm3,0.16498625483101512,1
PHASE_B2_IND__X__MI_atomic_size_mismatch,0.16305824639517943,1
PHASE_TEST_TENSILE__X__ACF_atomic_mass_range,0.16020494851774017,1
PHASE_COMPLEX_IND,0.1565383730931581,1
PHASE_B2_IND__X__ACF_atomic_mass_q25,0.1558771972088067,1
PHASE_FCC_IND__X__ACF_atomic_mass_range,0.14917490558381166,1
PHASE_COMPLEX_IND__X__MI_weighted_atomic_radius,0.14555260652653734,1
PHASE_TEST_TENSILE__X__ACF_atomic_mass_skew,0.14288151323591727,1
PHASE_B2_IND__X__MI_weighted_VEC,0.1366953085660013,1
C,0.12503789533754103,1
PHASE_B2_IND,0.1200698151466737,1
PHASE_LAVES_IND__X__ACF_atomic_mass_skew,0.11956430098384087,1
Single_Multiphase,0.11876351028231935,2
PHASE_LAVES_IND__X__Density_Exp_g_cm3,0.11815442042942365,1
PHASE_HCP_IND__X__ACF_atomic_mass_kurtosis,0.11524006420414493,1
PHASE_LAVES_IND__X__MI_weighted_electronegativity,0.11198684451725417,1
PHASE_LAVES_IND__X__ACF_atomic_mass_q75,0.11024567473939281,1
PHASE_LAVES_IND__X__Density_Calc_g_cm3,0.10931419486253763,1
PHASE_HCP_IND__X__Density_Calc_g_cm3,0.10697268048738433,1
Zn,0.10024961320615056,1
PHASE_LAVES_IND__X__ACF_atomic_mass_range,0.09993615093206162,1
PHASE_HCP_IND__X__ACF_atomic_mass_skew,0.09437764484782156,1
PHASE_LAVES_IND__X__MI_weighted_VEC,0.09097182070716885,1
PHASE_LAVES_IND__X__ACF_atomic_mass_mean,0.08663349548768691,1
PHASE_HCP_IND__X__ACF_atomic_mass_mean,0.08344460832654813,1
PHASE_HCP_IND__X__MI_weighted_VEC,0.07905046483511023,1
PHASE_LAVES_IND__X__ACF_atomic_mass_var,0.07245745825131494,1
PHASE_LAVES_IND__X__ACF_atomic_mass_q50,0.07205735260081664,1
PHASE_LAVES_IND__X__ACF_atomic_mass_kurtosis,0.06611427888221807,1
PHASE_HCP_IND__X__MI_pair_electronegativity_interaction,0.06380201861358817,1
PHASE_LAVES_IND__X__ACF_atomic_mass_q25,0.05831839888866201,1
PHASE_LAVES_IND,0.05799291807502242,1
PHASE_LAVES_IND__X__MI_atomic_size_mismatch,0.05467577010074387,1
PHASE_LAVES_IND__X__MI_weighted_atomic_radius,0.05463023812681596,1
W,0.05148328677395368,1
PHASE_LAVES_IND__X__MI_pair_electronegativity_interaction,0.04829874559702454,1
PHASE_LAVES_IND__X__MI_weighted_atomic_mass,0.045170579687630844,1
PHASE_HCP_IND__X__MI_atomic_size_mismatch,0.04419655772335404,1
PHASE_HCP_IND__X__MI_weighted_atomic_mass,0.04127429370235845,1
Mg,0.04051851091123615,1
PHASE_LAVES_IND__X__ACF_atomic_mass_std,0.03946279238837063,1
PHASE_HCP_IND__X__ACF_atomic_mass_q75,0.03849653947646656,1
PHASE_LAVES_IND__X__ACF_atomic_radius_mean,0.03837552798647776,1
PHASE_LAVES_IND__X__ACF_atomic_mass_max,0.03111954946759866,1
PHASE_HCP_IND__X__Density_Exp_g_cm3,0.026870581794737846,1
Y,0.02686042404998928,1
PHASE_HCP_IND__X__ACF_atomic_mass_range,0.02673738468996839,1
Re,0.02402233274261103,1
PHASE_HCP_IND__X__ACF_atomic_mass_std,0.022283253177495996,1
PHASE_HCP_IND__X__MI_weighted_electronegativity,0.0192229553470111,1
PHASE_HCP_IND__X__MI_weighted_atomic_radius,0.018655237330975325,1
PHASE_L12_IND__X__MI_weighted_atomic_mass,0.018482450061544156,1
PHASE_HCP_IND__X__ACF_atomic_mass_max,0.01772918755102185,1
PHASE_L12_IND__X__MI_weighted_VEC,0.016894110149972275,1
PHASE_L12_IND__X__ACF_atomic_mass_max,0.015242285225462062,1
PHASE_L12_IND__X__ACF_atomic_mass_var,0.015065017472331608,1
PHASE_L12_IND__X__ACF_atomic_mass_kurtosis,0.013906268533021631,1
PHASE_L12_IND__X__Density_Exp_g_cm3,0.013639307950931873,1
PHASE_HCP_IND__X__ACF_atomic_mass_q50,0.013598672476059703,1
PHASE_HCP_IND__X__ACF_atomic_mass_var,0.013565859788181738,1
PHASE_L12_IND__X__ACF_atomic_mass_std,0.013256538989632563,1
PHASE_L12_IND__X__ACF_atomic_mass_min,0.013213866075782978,1
PHASE_L12_IND__X__ACF_atomic_mass_skew,0.012727108633840608,1
PHASE_HCP_IND,0.012648511405614623,1
PHASE_L12_IND__X__ACF_atomic_radius_mean,0.012634250590541326,1
PHASE_L12_IND__X__MI_weighted_atomic_radius,0.012555826064267505,1
PHASE_L12_IND__X__ACF_atomic_mass_q25,0.012058349909652068,1
PHASE_L12_IND__X__Density_Calc_g_cm3,0.011637704982330476,1
PHASE_L12_IND__X__ACF_atomic_mass_range,0.01100454961161795,1
PHASE_L12_IND__X__ACF_atomic_mass_mean,0.010776193898930895,1
PHASE_L12_IND,0.010508996567616592,1
PHASE_L12_IND__X__ACF_atomic_mass_q50,0.010091384035426861,1
PHASE_L12_IND__X__MI_pair_electronegativity_interaction,0.010002238406884389,1
Li,0.00974762084312489,1
PHASE_L12_IND__X__MI_atomic_size_mismatch,0.009692597942076175,1
PHASE_L12_IND__X__MI_weighted_electronegativity,0.009266382078094316,1
PHASE_HCP_IND__X__ACF_atomic_radius_mean,0.009121924916379956,1
PHASE_L12_IND__X__ACF_atomic_mass_q75,0.008816660545269637,1
Sc,0.008167368110728598,1
Pd,0.007830728276205217,1
Sn,0.005482019496341137,1
Ca,0.0014048356641587724,1
S,0.0010733158345051731,1
B,0.0,1
T,0.0,1
PHASE_SIGMA_IND,0.0,1
Ag,0.0,1
PHASE_SIGMA_IND__X__ACF_atomic_mass_max,0.0,1
PHASE_SIGMA_IND__X__ACF_atomic_radius_mean,0.0,1
PHASE_SIGMA_IND__X__ACF_atomic_mass_kurtosis,0.0,1
PHASE_SIGMA_IND__X__ACF_atomic_mass_min,0.0,1
PHASE_SIGMA_IND__X__MI_atomic_size_mismatch,0.0,1
PHASE_SIGMA_IND__X__MI_pair_electronegativity_interaction,0.0,1
PHASE_SIGMA_IND__X__ACF_atomic_mass_mean,0.0,1
PHASE_SIGMA_IND__X__ACF_atomic_mass_var,0.0,1
PHASE_SIGMA_IND__X__ACF_atomic_mass_std,0.0,1
PHASE_SIGMA_IND__X__MI_weighted_atomic_mass,0.0,1
PHASE_SIGMA_IND__X__Density_Calc_g_cm3,0.0,1
PHASE_SIGMA_IND__X__Density_Exp_g_cm3,0.0,1
PHASE_SIGMA_IND__X__MI_weighted_electronegativity,0.0,1
PHASE_SIGMA_IND__X__ACF_atomic_mass_range,0.0,1
PHASE_SIGMA_IND__X__ACF_atomic_mass_q25,0.0,1
PHASE_SIGMA_IND__X__ACF_atomic_mass_q50,0.0,1
PHASE_SIGMA_IND__X__ACF_atomic_mass_q75,0.0,1
PHASE_SIGMA_IND__X__ACF_atomic_mass_skew,0.0,1
PHASE_SIGMA_IND__X__MI_weighted_atomic_radius,0.0,1
PHASE_SIGMA_IND__X__MI_weighted_VEC,0.0,1
Ga,0.0,1
O,0.0,1
Nd,0.0,1
I,0.0,1
Ru,0.0,1
