candidate_id,composition,n_elements,Al,Co,Cr,Cu,Fe,Mn,Mo,Nb,Ni,Ti,V,W,composition_sum,valid_composition,Predicted_YS_MPa,Predicted_UTS_MPa,Predicted_Elongation_pct,Predicted_Hardness_HV,UTS_to_YS_Ratio,UTS_YS_Consistency,YS_Score,UTS_Score,Elongation_Score,Hardness_Score,Balanced_Score,Pareto_Optimal,Overall_Rank,YS_Ensemble_Mean_MPa,YS_Uncertainty_STD_MPa,YS_Relative_Uncertainty,Uncertainty_Risk,Predicted_YS_MPa_Normalized,Predicted_UTS_MPa_Normalized,Predicted_Elongation_pct_Normalized,Predicted_Hardness_HV_Normalized,Performance_Score,Uncertainty_Penalty,Uncertainty_Aware_Score,Final_Rank,Nearest_Experimental_Distance,Nearest_Experimental_Record_ID,Nearest_Experimental_Alloy,Nearest_Experimental_Composition,Novelty_Percentile,Novelty_Score,Discovery_Score,Discovery_Rank,Novelty_Category
CAND_03671,Cu27.02Mn14.05Mo17.12Ni41.81,4,0.0,0.0,0.0,27.02,0.0,14.05,17.12,0.0,41.81,0.0,0.0,0.0,100.0,True,624.39435,1331.4597,43.787766,272.3946,2.13240190907654,True,0.22272493,0.5975854682028766,0.4395111307861221,0.148025197808799,0.3781746876247606,False,4251,1138.9718098958333,272.60881575371263,0.2393464117243117,High,0.2227249123985989,0.5975854682028766,0.4395111307861221,0.1480251978087991,0.3519616772990992,0.2393464117243117,0.2839897497338233,4474,3.3051145932067443,R02925,BBB15,Al:4.0000;Cr:8.0000;Cu:24.0000;Fe:4.0000;Mn:16.0000;Ni:44.0000,26.76,0.18954628308356575,0.2503229899786196,4769,Moderate
CAND_03585,Fe40.66Mn20.09Ti17.84V21.41,4,0.0,0.0,0.0,0.0,40.66,20.09,0.0,0.0,0.0,17.84,21.41,0.0,100.0,True,911.3975,1088.4763,39.68145,226.93933333333337,1.1942936794957146,True,0.4620774,0.4067650400349368,0.3660669959641565,0.0506184806312737,0.3597622558049133,True,4520,863.0531392415364,197.0487590839656,0.2283159056198264,Low,0.4620773385903555,0.4067650400349368,0.3660669959641565,0.0506184806312737,0.3213819638051806,0.2283159056198264,0.261644388332663,4765,4.208772479284166,R02179,Material 2 - Ti–alloyed Ni–Si5–HEA FSA + Anneal,Cr:14.3000;Fe:41.3000;Mn:27.3000;Ni:9.3000;Si:4.3000;Ti:3.5000,51.18000000000001,0.2505931723452196,0.25025685940477144,4770,High
CAND_02824,Fe15.17Mo29.92Ni35.59Ti19.32,4,0.0,0.0,0.0,0.0,15.17,0.0,29.92,0.0,35.59,19.32,0.0,0.0,100.0,True,1090.8846,1134.1162,40.989166,264.336,1.0396298148486542,True,0.6117645,0.4426070986263547,0.3894563479314287,0.1307563128454108,0.4332890106788954,False,3027,954.0685139973958,280.0316961946844,0.2935131933254939,High,0.6117644512757824,0.4426070986263547,0.3894563479314287,0.1307563128454108,0.3936460526697442,0.2935131933254939,0.3043231833281261,4015,4.303865295103751,R02308,as‐cast CoCrFeNiMo high‐entropy alloy,Co:19.1000;Cr:19.9000;Fe:19.8000;Mo:21.7000;Ni:19.5000,53.480000000000004,0.25701719706337467,0.24999460488856068,4771,High
CAND_04188,Co18.76Cu9.99Fe39.73V31.52,4,0.0,18.76,0.0,9.99,39.73,0.0,0.0,0.0,0.0,0.0,31.52,0.0,100.0,True,831.12354,1034.777,52.36534,264.56800000000004,1.245033928446586,True,0.39513117,0.3645937500689611,0.592926625672874,0.1312534688416765,0.395837157460406,False,3916,830.6653971354167,209.8214055055956,0.2525943734133782,Low,0.3951311497209302,0.3645937500689611,0.592926625672874,0.1312534688416765,0.3709762485761104,0.2525943734133782,0.2961663060685662,4214,3.0841495911637433,R00624,Co1 Fe1 Ni1 V1,Co:25.0000;Fe:25.0000;Ni:25.0000;V:25.0000,21.7,0.17461892371643406,0.24990281048888965,4772,Low
CAND_01547,Co19.23Cu37.70Fe33.90Mo9.17,4,0.0,19.23,0.0,37.7,33.9,0.0,9.17,0.0,0.0,0.0,0.0,0.0,100.0,True,593.0579,1296.7656,48.362526,260.03600000000006,2.1865749551620666,True,0.19659124,0.570339397002534,0.5213336914994563,0.1215417836042809,0.3786438861859117,False,4239,876.8079182942708,211.14958944392464,0.2408162438298823,Medium,0.1965912085150817,0.570339397002534,0.5213336914994563,0.1215417836042809,0.3524515201553382,0.2408162438298823,0.2840481190570711,4472,3.3378470971889427,R00447,Co1 Cu1 Fe1 Ni1,Co:25.0000;Cu:25.0000;Fe:25.0000;Ni:25.0000,27.779999999999998,0.19175753756011518,0.24986258214037307,4773,Moderate
CAND_00946,Co11.49Cr16.21Cu11.87Fe22.94Ni14.64Ti22.85,6,0.0,11.49,16.21,11.87,22.94,0.0,0.0,0.0,14.64,22.85,0.0,0.0,100.0,True,848.60504,1328.954,41.0571,249.00900000000007,1.5660453744710432,True,0.40971026,0.5956176846141193,0.3906713917456397,0.0979118733852252,0.4139530192526505,False,3501,987.3005777994792,219.13436507613605,0.221953040445442,Medium,0.409710221199662,0.5956176846141193,0.3906713917456397,0.0979118733852252,0.3734777927361615,0.221953040445442,0.3056400535654108,3975,1.1894598136473284,R00419,Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 Ti1,Al:7.0318;Co:14.0861;Cr:14.0861;Cu:14.0861;Fe:14.0861;Ni:14.0861;Ti:22.5378,0.64,0.04662256711370692,0.2498624497675595,4774,Low
CAND_03988,Cu25.90Fe18.41Mn15.07Nb24.65Ti9.09V6.88,6,0.0,0.0,0.0,25.9,18.41,15.07,0.0,24.65,0.0,9.09,6.88,0.0,100.0,True,1006.0674,1096.7948,32.78367,261.272,1.0901802590338114,True,0.54102933,0.4132977485727011,0.2426957102929471,0.1241904250326614,0.3656006280413648,False,4449,1156.9286376953123,266.32674093765263,0.2302015286510629,High,0.5410293300661669,0.4132977485727011,0.2426957102929471,0.1241904250326614,0.3303033034911191,0.2302015286510629,0.2684952796744631,4691,3.8422594708701223,R00220,AlCoCuFeNbNi,Al:16.6667;Co:16.6667;Cu:16.6667;Fe:16.6667;Nb:16.6667;Ni:16.6667,41.28,0.22583327218573518,0.2498356286980211,4775,Moderate
CAND_02584,Co19.79Cr13.44Mn18.70Nb7.87Ti16.90V23.30,6,0.0,19.79,13.44,0.0,0.0,18.7,0.0,7.87,0.0,16.9,23.3,0.0,100.0,True,709.33057,1145.835,37.498825,287.283,1.6153751921410275,True,0.2935593,0.4518101406185833,0.3270293269767252,0.1799297552863896,0.3323576370293096,False,4816,1205.5670979817708,248.1211934390702,0.2058128443074199,High,0.2935592928873037,0.4518101406185833,0.3270293269767252,0.1799297552863896,0.3130821289422504,0.2058128443074199,0.2596440487595525,4788,3.301449805515354,R00628,Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,Co:12.5000;Cr:12.5000;Cu:12.5000;Fe:12.5000;Mn:12.5000;Ni:12.5000;Ti:12.5000;V:12.5000,26.640000000000004,0.1892987072124195,0.2497634160283931,4776,Moderate
CAND_00670,Al14.60Cr8.69Fe26.29Nb15.80Ti34.62,5,14.6,0.0,8.69,0.0,26.29,0.0,0.0,15.8,0.0,34.62,0.0,0.0,100.0,True,1122.902,1150.6034,47.45028,283.98800000000006,1.0246694929878453,True,0.63846606,0.4555548743315694,0.5050175779283627,0.1728688543911517,0.4803910089491759,False,1963,901.8923665364584,290.31312621147765,0.3218933178538461,High,0.6384660480016439,0.4555548743315694,0.5050175779283627,0.1728688543911517,0.4429768386631819,0.3218933178538461,0.3351078583121783,3142,3.4203618041720905,R00828,Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,Al:10.0000;Cr:20.0000;Nb:20.0000;Ti:40.0000;V:10.0000,29.74,0.1973318442277897,0.2494955997266048,4777,Moderate
CAND_02580,Cu41.04Mn18.25Nb29.46V11.25,4,0.0,0.0,0.0,41.04,0.0,18.25,0.0,29.46,0.0,0.0,11.25,0.0,100.0,True,789.1519,1002.2421,33.354736,299.681,1.2700242868827134,True,0.36012805,0.3390433480727709,0.2529095974599943,0.2064976002937218,0.3039534618258642,True,4950,1155.2084350585938,253.0736157412757,0.219071821206395,High,0.3601280012703052,0.3390433480727709,0.2529095974599943,0.2064976002937218,0.289644636774198,0.219071821206395,0.2375943990630227,4946,5.2200222538360235,R02374,FCC Co9Cr7Cu36Mn25Ni23 HEA,Co:9.0000;Cr:7.0000;Cu:36.0000;Mn:25.0000;Ni:23.0000,69.96,0.3189084650617053,0.24928220592802167,4778,High
