Seed,Round,Strategy,Training_Records,Training_Compositions,Test_Records,Test_Compositions,MAE_MPa,RMSE_MPa,R2
77,1,Uncertainty,624,250,374,146,251.99401200521947,347.99948421245966,0.6177978140726238
77,2,Random,778,300,374,146,234.87134209862364,327.15783515368275,0.6622070217725533
77,2,Uncertainty,737,300,374,146,238.78450626420846,333.3074950441492,0.6493885252825932
77,3,Random,884,350,374,146,231.49467401514713,331.70807517452505,0.6527453623851887
77,3,Uncertainty,883,350,374,146,235.04167069517734,320.2274778446776,0.6763667342470305
77,4,Random,1072,400,374,146,233.69908647922782,336.5733200729062,0.6424841177252544
77,4,Uncertainty,1020,400,374,146,230.10972617242172,311.1594447765288,0.6944361721844408
77,5,Random,1181,450,374,146,235.81810164793288,336.66126163729143,0.6422972662336417
77,5,Uncertainty,1139,450,374,146,223.0529456438687,302.45905825225987,0.7112851267803462
77,6,Random,1339,500,374,146,217.47097518696503,304.8222635422413,0.7067558658623203
77,6,Uncertainty,1374,500,374,146,218.06757347453726,297.95145441574766,0.7198265451301955
101,0,Random,477,200,449,146,274.82883190632504,373.51759214837693,0.4677457805227101
101,0,Uncertainty,477,200,449,146,274.82883190632504,373.51759214837693,0.4677457805227101
101,1,Random,593,250,449,146,268.3508688078542,354.22938786297016,0.5212969795713144
101,1,Uncertainty,606,250,449,146,272.4522685455798,365.3163796595066,0.4908622715557477
101,2,Random,730,300,449,146,249.35684490178372,340.05326492921824,0.5588453224771601
101,2,Uncertainty,688,300,449,146,251.06413851051926,343.1307690769298,0.5508242332826894
101,3,Random,849,350,449,146,251.97440712162006,332.8607986154837,0.5773096898276167
101,3,Uncertainty,802,350,449,146,233.9281598151872,320.07667229462913,0.6091545712754431
101,4,Random,1003,400,449,146,219.3280843402548,298.10090360061366,0.6609813615328386
101,4,Uncertainty,984,400,449,146,230.19897867249486,309.70629723523444,0.6340708032941511
101,5,Random,1108,450,449,146,231.6498342317781,308.71855556390796,0.6364011862818839
101,5,Uncertainty,1190,450,449,146,234.25808779850303,306.11515982416086,0.6425077213430959
101,6,Random,1220,500,449,146,211.04306216879252,291.38112550855607,0.6760933805612221
101,6,Uncertainty,1310,500,449,146,215.22609416596342,289.2231840023355,0.6808732596829069
